Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
35000,0.2,IDLE,870.1,1175.0
35000,0.2,MIL,7283.3,3458.2
35000,0.2,AB1,9986.1,10644.3
35000,0.2,AB2,12176.9,15929.4
35000,0.2,AB3,13709.2,21255.0
35000,0.2,AB4,14876.3,25226.8
35000,0.2,MAX,15606.1,28732.7
35000,0.4,IDLE,879.8,1200.0
35000,0.4,MIL,7524.6,3572.8
35000,0.4,AB1,10317.0,10997.0
35000,0.4,AB2,12580.3,16457.1
35000,0.4,AB3,14163.4,21959.2
35000,0.4,AB4,15369.1,26062.5
35000,0.4,MAX,16123.1,29684.6
35000,0.6,IDLE,884.3,1225.0
35000,0.6,MIL,7638.1,3626.7
35000,0.6,AB1,10472.6,11162.9
35000,0.6,AB2,12770.1,16705.4
35000,0.6,AB3,14377.0,22290.5
35000,0.6,AB4,15601.0,26455.7
35000,0.6,MAX,16366.3,30132.4
35000,0.8,IDLE,862.2,1250.0
35000,0.8,MIL,7281.9,3492.1
35000,0.8,AB1,9984.2,10961.5
35000,0.8,AB2,12174.5,16404.0
35000,0.8,AB3,13706.5,21888.4
35000,0.8,AB4,14873.3,25978.5
35000,0.8,MAX,15603.0,29588.8
35000,1.0,IDLE,798.9,1275.0
35000,1.0,MIL,6660.1,3225.6
35000,1.0,AB1,9131.6,10317.6
35000,1.0,AB2,11134.9,15440.3
35000,1.0,AB3,12536.1,20602.5
35000,1.0,AB4,13603.4,24452.3
35000,1.0,MAX,14270.7,27850.6
35000,1.2,IDLE,855.9,1300.0
35000,1.2,MIL,7125.1,3484.6
35000,1.2,AB1,9769.2,11350.3
35000,1.2,AB2,11912.4,16985.9
35000,1.2,AB3,13411.4,22664.7
35000,1.2,AB4,14553.2,26899.9
35000,1.2,MAX,15267.1,30638.4
35000,1.4,IDLE,867.6,1325.0
35000,1.4,MIL,7221.8,3566.2
35000,1.4,AB1,9901.8,11821.0
35000,1.4,AB2,12074.0,17690.2
35000,1.4,AB3,13593.4,23604.6
35000,1.4,AB4,14750.6,28015.4
35000,1.4,MAX,15474.3,31908.8
35000,1.6,IDLE,867.6,1350.0
35000,1.6,MIL,7222.3,3600.7
35000,1.6,AB1,9902.4,12138.4
35000,1.6,AB2,12074.8,18165.3
35000,1.6,AB3,13594.3,24238.4
35000,1.6,AB4,14751.6,28767.6
35000,1.6,MAX,15475.3,32765.7
35000,1.8,IDLE,867.6,1375.0
35000,1.8,MIL,7222.3,3635.0
35000,1.8,AB1,9902.4,12455.1
35000,1.8,AB2,12074.8,18639.1
35000,1.8,AB3,13594.3,24870.7
35000,1.8,AB4,14751.6,29518.1
35000,1.8,MAX,15475.3,33620.4
35000,2.0,IDLE,867.6,1400.0
35000,2.0,MIL,7222.3,3669.3
35000,2.0,AB1,9902.4,12771.7
35000,2.0,AB2,12074.8,19113.0
35000,2.0,AB3,13594.3,25503.0
35000,2.0,AB4,14751.6,30268.6
35000,2.0,MAX,15475.3,34475.2
40000,0.0,IDLE,689.4,1150.0
40000,0.0,MIL,6150.6,2939.6
40000,0.0,AB1,7766.4,8332.7
40000,0.0,AB2,9579.8,12614.3
40000,0.0,AB3,10860.0,16948.3
40000,0.0,AB4,11838.9,20208.1
40000,0.0,MAX,12419.7,23016.5
40000,0.2,IDLE,691.2,1175.0
40000,0.2,MIL,6199.6,2963.0
40000,0.2,AB1,7828.3,8399.2
40000,0.2,AB2,9656.2,12714.9
40000,0.2,AB3,10946.6,17083.4
40000,0.2,AB4,11933.3,20369.2
40000,0.2,MAX,12518.7,23200.0
40000,0.4,IDLE,698.9,1200.0
40000,0.4,MIL,6405.0,3061.2
40000,0.4,AB1,8087.7,8677.4
40000,0.4,AB2,9976.1,13136.2
40000,0.4,AB3,11309.3,17649.4
40000,0.4,AB4,12328.6,21044.0
40000,0.4,MAX,12933.5,23968.6
40000,0.6,IDLE,702.5,1225.0
40000,0.6,MIL,6501.6,3107.4
40000,0.6,AB1,8209.7,8808.3
40000,0.6,AB2,10126.6,13334.3
40000,0.6,AB3,11479.9,17915.6
40000,0.6,AB4,12514.6,21361.5
40000,0.6,MAX,13128.6,24330.2
40000,0.8,IDLE,685.0,1250.0
40000,0.8,MIL,6198.4,2992.1
40000,0.8,AB1,7826.8,8649.4
40000,0.8,AB2,9654.3,13093.8
